324,1.094
325,1.094
326,1.094
409,1.094
410,1.094
493,1.094
582,1.094
584,1.094
663,1.094
666,1.094
836,1.094
920,1.094
925,1.094
928,1.094
1007,1.094
1093,1.094
1179,1.094
1264,1.094
1265,1.094
1349,1.094
1350,1.094
1351,1.094
1437,1.094
1522,1.094
1607,1.094
1618,1.094
1692,1.094
1704,1.094
1705,1.094
1777,1.094
1789,1.094
1791,1.094
1863,1.094
1867,1.094
1877,1.094
1949,1.094
1953,1.094
1954,1.094
1955,1.094
1958,1.094
1959,1.094
1960,1.094
1961,1.094
1962,1.094
1963,1.094
2039,1.094
2040,1.094
2041,1.094
2043,1.094
2044,1.094
2045,1.094
2046,1.094
2047,1.094
2048,1.094
2049,1.094
2051,1.094
2118,1.094
2125,1.094
2126,1.094
2127,1.094
2128,1.094
2129,1.094
2130,1.094
2131,1.094
2132,1.094
2133,1.094
2134,1.094
2135,1.094
2136,1.094
2137,1.094
2211,1.094
2213,1.094
2214,1.094
2216,1.094
2218,1.094
2219,1.094
2220,1.094
2221,1.094
2222,1.094
2223,1.094
2227,1.094
2296,1.094
2298,1.094
2300,1.094
2310,1.094
2384,1.094
2385,1.094
2386,1.094
2387,1.094
2388,1.094
2389,1.094
2390,1.094
2391,1.094
2392,1.094
2393,1.094
2394,1.094
2395,1.094
2470,1.094
2555,1.094
2556,1.094
2557,1.094
2642,1.094
2643,1.094
2740,1.094
2816,1.094
2817,1.094
2818,1.094
2819,1.094
2827,1.094
2890,1.094
2891,1.094
2901,1.094
2902,1.094
2903,1.094
2904,1.094
2905,1.094
2912,1.094
2913,1.094
2987,1.094
2988,1.094
2989,1.094
2990,1.094
2991,1.094
2999,1.094
3000,1.094
3060,1.094
3071,1.094
3074,1.094
3084,1.094
3085,1.094
3086,1.094
3144,1.094
3145,1.094
3159,1.094
3170,1.094
3171,1.094
3172,1.094
3229,1.094
3230,1.094
3232,1.094
3241,1.094
3243,1.094
3251,1.094
3256,1.094
3257,1.094
3313,1.094
3314,1.094
3315,1.094
3326,1.094
3329,1.094
3331,1.094
3333,1.094
3334,1.094
3342,1.094
3343,1.094
3401,1.094
